idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
have second thoughts	["If%20you%27re%20having%20second%20thoughts%20about%20something%2C%20you%27re%20having%20doubts%20about%20a%20decision%20you%27ve%20made.",""]	["You%27re%20not%20having%20second%20thoughts%20about%20moving%20to%20Australia%20to%20live%2C%20are%20you%3F","I%27ve%20been%20having%20second%20thoughts%20about%20quitting%20my%20job.%20Maybe%20I%20should%20keep%20it%20for%20a%20while%20longer."]				h,numbers	have second thoughts
have your hands full	["If%20you%20have%20your%20hands%20full%2C%20you%27re%20busy.",""]	["I%27d%20love%20to%20teach%20you%20but%20I%27ve%20got%20my%20hands%20full%20at%20the%20moment%20and%20I%20can%27t%20take%20on%20any%20more%20students%20just%20now.","Marianne%20has%20her%20hands%20full%20raising%20her%20kids%2C%20so%20she%20won%27t%20be%20working%20again%20until%20they%27re%20all%20in%20school."]				body,h	have your hands full
have your head in the clouds	["If%20someone%20has%20their%20head%20in%20the%20clouds%2C%20they%20are%20out%20of%20touch%20with%20the%20everyday%20world%20and%20can%20be%20unrealistic%20or%20naive%20as%20a%20result.",""]	["If%20you%20think%20oil%20companies%20are%20going%20to%20help%20destroy%20their%20own%20industry%20by%20developing%20alternative%20energy%20sources%2C%20you%20have%20your%20head%20in%20the%20clouds.","Janette%20must%20have%20her%20head%20in%20the%20clouds%20if%20she%20thinks%20her%20insurance%20company%20is%20going%20to%20pay%20the%20full%20cost%20of%20rebuilding%20and%20refurnishing%20her%20house."]				body,h,weather	have your head in the clouds
have your work cut out (for you)	["If%20you%20have%20your%20work%20cut%20out%20for%20you%2C%20you%20have%20a%20difficult%20task%20to%20do%20or%20a%20challenging%20situation%20to%20face.",""]	["Our%20son%20has%20left%20it%20to%20the%20last%20minute%20to%20write%20his%20essay%2C%20so%20now%20he%20really%20has%20his%20work%20cut%20out%20for%20him%20to%20get%20it%20done%20on%20time.","Have%20you%20seen%20how%20good%20their%20team%20looks%3F%20You%20guys%20are%20really%20going%20to%20have%20your%20work%20cut%20out%20to%20beat%20them."]				h	have your work cut out (for you)
He makes my flesh (or skin) crawl (or creep)	["Said%20of%20someone%20who%20the%20speaker%20has%20a%20deep%20dislike%20of."]	["Savile%20was%20a%20sexual%20predator%20for%20","%20years.%20Just%20seeing%20a%20picture%20of%20his%20stupid%20face%20now%20makes%20my%20skin%20crawl."]	Britain, 15th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/he-makes-my-skin-crawl.mp3	emotion,the_human_body,disgust	he makes my flesh
Head over heels	["Very%20excited%2C%20especially%20when%20in%20love."]	["She%20said%20yes%21%20We%20are%20to%20be%20married%20and%20I%27m%20head%20over%20heels."]	Britain, 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/head-over-heels.mp3	emotion,the_human_body,excess,happiness	head over heels
heads will roll	["You%20can%20say%20%22heads%20will%20roll%22%20if%20people%20are%20going%20to%20lose%20their%20jobs%20after%20making%20a%20mistake.",""]	["How%20could%20the%20air%20force%20have%20bombed%20a%20school%20by%20mistake%3F%20Heads%20will%20roll%2C%20believe%20me%21","Have%20you%20any%20idea%20how%20much%20money%20this%20mistake%20will%20cost%20the%20company%3F%20You%20can%20be%20sure%20that%20heads%20will%20roll."]	Probably metaphorical, from the fact that the head of a person who has been executed by guillotine will roll around a little after falling into the basket below the blade.			body,h	heads will roll
Hear it on the grapevine	["Hear%20rumors%20about%20something%20from%20an%20anonymous%20informal%20contact."]	["The%20girls%20in%20the%20dorm%20were%20talking%20and%20I%20heard%20it%20on%20the%20grapevine%20that%20Judy%20is%20pregnant."]	USA	Worldwide.	https://www.phrases.org.uk/idioms/audio/hear-it-on-the-grapevine.mp3	language,food,fruit,secrets	hear it on the grapevine
Hell bent	["Determined%20to%20achieve%20something%20at%20all%20costs."]	["Susie%20broke%20her%20ankle%20a%20mile%20from%20the%20end%20of%20the%20marathon%20but%20she%20was%20hell%20bent%20to%20finish%20and%20stumbled%20over%20the%20line%20on%20crutches."]	USA, 18th century.	Worldwide, although more common in the USA than elsewhere.	https://www.phrases.org.uk/idioms/audio/hell-bent.mp3	religion,excess,america	hell bent
Help yourself	["Invitation%20to%20take%20something%20freely."]	["There%27s%20plenty%20of%20food%20for%20everyone%20-%20just%20help%20yourself%20to%20whatever%20you%20want."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/help-yourself.mp3	excess	help yourself
Hidden in plain sight	["Something%20that%20defies%20apprehension%20by%20being%20too%20obvious."]	["After%20robbing%20the%20jewellers%20the%20thief%20just%20stood%20in%20the%20crowd%20and%20watched%20the%20police%20search%20all%20the%20local%20alleys.%20I%20guess%20hiding%20in%20plain%20sight%20worked%20for%20him."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/hidden-in-plain-sight.mp3	surprise,trickery,america	hidden in plain sight
High and mighty	["Proud%20and%20arrogant."]	["Ever%20since%20he%20inherited%20that%20fortune%20he%20won%27t%20come%20to%20the%20pub%20with%20the%20gang%20any%20more.%20All%20high%20and%20mighty%20if%20you%20ask%20me."]	Britain, 15th century. First used in a description of Henry V.	Worldwide.	https://www.phrases.org.uk/idioms/audio/high-and-mighty.mp3	pride,america	high and mighty
High on the hog	["Luxurious."]	["That%20upgrade%20to%20first%20class%20has%20really%20put%20us%20high%20on%20the%20hog."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/high-on-the-hog.mp3	animals	high on the hog
High season	["The%20most%20popular%20time%20to%20visit%20a%20resort%20or%20attraction%20-%20when%20prices%20are%20highest."]	["It%27s%20way%20too%20busy%20here%20to%20get%20a%20deckchair%20on%20the%20beach.%20I%20suppose%20that%27s%20what%20we%20should%20have%20expected%20when%20we%20booked%20a%20holiday%20in%20high%20season."]	Britain, 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/high-season.mp3	travel,date	high season
hit it off	["If%20you%20meet%20someone%20for%20the%20first%20time%20and%20the%20two%20of%20you%20hit%20it%20off%2C%20you%20get%20along%20really%20well%20and%20have%20a%20great%20time%20together.",""]	["Brad%20and%20Angelina%20hit%20it%20off%20the%20first%20time%20they%20met%2C%20and%20they%27ve%20been%20together%20ever%20since.","I%20met%20a%20guy%20at%20Alan%27s%20wedding%20and%20we%20hit%20it%20off%20straight%20away.%20We%20talked%20and%20laughed%20together%20all%20night."]				h	hit it off
Hit the books	["To%20study%2C%20especially%20for%20a%20test%20or%20exam."]	["I%27ve%20done%20no%20work%20for%20the%20end%20of%20terms%20exams.%20I%20need%20to%20hit%20the%20books%20bigtime."]	USA	Mostly USA.	https://www.phrases.org.uk/idioms/audio/hit-the-books.mp3	effort,america	hit the books
Hit the hay	["Retire%20to%20bed."]	["I%27m%20exhausted.%20Do%20you%20mind%20if%20I%20hit%20the%20hay."]	USA, early 20th century.	Mostly USA.	https://www.phrases.org.uk/idioms/audio/hit-the-hay.mp3	nature	hit the hay
hit the hay | hit the sack	["If%20you%20hit%20the%20hay%2C%20or%20hit%20the%20sack%2C%20you%20go%20to%20bed.",""]	["It%27s%20after%20midnight%20so%20it%27s%20time%20I%20hit%20the%20hay.","You%20look%20really%20tired.%20What%20time%20did%20you%20hit%20the%20sack%20last%20night%3F"]	Probably related to the fact that in the U.S.A. in the late nineteenth century and early twentieth century mattresses often consisted of old sacks filled with hay or straw.			american,h	hit the hay,hit the sack
Hit the nail on the head	["Make%20the%20precise%20correct%20point.","If%20you%20hit%20the%20nail%20on%20the%20head%2C%20you%20describe%20the%20exact%20nature%20of%20something%20such%20as%20a%20problem%2C%20a%20solution%2C%20or%20a%20situation."]	["Churchill%20hit%20the%20nail%20on%20the%20head%20when%20he%20called%20Hitler%20a%20dictator.","Bernie%20hit%20the%20nail%20on%20the%20head%20when%20he%20said%20the%20team%27s%20problem%20is%20that%20the%20players%20don%27t%20have%20confidence%20in%20one%20another.","You%20really%20hit%20the%20nail%20on%20the%20head%20when%20you%20said%20that%20Gina%20needs%20to%20stop%20worrying%20about%20making%20mistakes%20when%20she%20speaks%20English."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/hit-the-nail-on-the-head.mp3	language,america,h	hit the nail on the head
hit the roof	["You%20can%20say%20someone%20hits%20the%20roof%20if%20they%20lose%20their%20temper%20and%20show%20their%20anger.",""]	["When%20the%20boss%20saw%20Jim%27s%20mistake%2C%20he%20hit%20the%20roof.%20He%20yelled%20and%20thumped%20the%20desk%20and%20told%20Jim%20to%20get%20out.","When%20Johnny%27s%20dad%20found%20out%20that%20he%27d%20been%20smoking%20cigarettes%2C%20he%20hit%20the%20roof."]				buildings,h	hit the roof
Hit the sack	["Retire%20to%20bed."]	["I%27m%20exhausted.%20Do%20you%20mind%20if%20I%20hit%20the%20sack."]	USA, early 20th century.	Mostly USA.	https://www.phrases.org.uk/idioms/audio/hit-the-sack.mp3		hit the sack
Hobson's choice	["%20A%20choice%20forced%20upon%20someone.%20","%20Cockney%20rhyming%20slang%20for%20voice."]	["%20There%20was%20only%20one%20room%20left%20in%20the%20hotel%20when%20we%20arrived%2C%20so%20we%20got%20Hobson%27s%20choice.%20","%20I%27ve%20had%20a%20sore%20throat%20for%20a%20couple%20of%20days%20-%20now%20I%27m%20beginning%20to%20lose%20my%20hobsons."]	Britain, 17th century. Derived from the name of the carrier Thomas Hobson.	Worldwide, although mostly amongst the older generation.	https://www.phrases.org.uk/idioms/audio/hobsons-choice.mp3	the_human_body,name,cockney_rhyming_slang,	hobson's choice
Hocus pocus	["A%20term%20used%20to%20denote%20magic%20or%20trickery."]	["He%20claimed%20to%20have%20evidence%20of%20the%20Loch%20Ness%20Monster%2C%20but%20it%20turned%20out%20to%20be%20a%20lot%20of%20hocus%20pocus."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/hocus-pocus.mp3	theatre,trickery,reduplication	hocus pocus
hold the fort	["If%20you%20hold%20the%20fort%2C%20you%20look%20after%20a%20place%20or%20a%20business%20while%20the%20person%20who%20is%20normally%20in%20charge%20is%20away.",""]	["Can%20you%20hold%20the%20fort%20while%20I%20run%20down%20to%20the%20bank%3F","Your%20job%20will%20be%20to%20serve%20customers%2C%20and%20occasionally%20hold%20the%20fort%20if%20I%20have%20to%20go%20out."]				buildings,h	hold the fort
hold your head high | hold your head up high	["You%20can%20hold%20your%20head%20high%2C%20or%20hold%20your%20head%20up%20high%2C%20if%20you%20feel%20proud%20of%20something.",""]	["The%20team%20didn%27t%20win%2C%20but%20they%20can%20hold%20their%20heads%20up%20high%20because%20they%20put%20up%20a%20great%20fight.","Al%20said%2C%20%22Will%20our%20generation%20be%20able%20to%20hold%20our%20heads%20high%20if%20we%27ve%20created%20serious%20environmental%20problems%20for%20our%20grandchildren%20to%20deal%20with%3F%20I%20don%27t%20think%20so%21%22"]				body,h	hold your head high,hold your head up high
Hold your horses	["Be%20patient."]	["I%20know%20you%20want%20to%20get%20off%20home%20but%20hold%20your%20horses%2C%20there%27s%20another%20ten%20minutes%20before%20the%20school%20bell%20is%20due."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/hold-your-horses.mp3	animals,patience,america	hold your horses
hold your own	["If%20you%20hold%20your%20own%2C%20you%20are%20as%20successful%20as%20other%20people%20in%20a%20situation%2C%20or%20as%20good%20as%20others%20at%20an%20activity.",""]	["Kelly%27s%20a%20great%20tennis%20player%20and%20she%20can%20hold%20her%20own%20against%20anyone%20in%20her%20class%2C%20including%20the%20boys.","Mark%20works%20so%20hard%20because%20he%20hates%20the%20thought%20of%20not%20holding%20his%20own%20against%20old%20school%20friends%20when%20it%20comes%20to%20earning%20money."]				h	hold your own
hot under the collar	["If%20you%20are%20hot%20under%20the%20collar%2C%20you%20feel%20angry%20or%20annoyed%20about%20something.",""]	["The%20coach%20was%20getting%20hot%20under%20the%20collar%20because%20he%20thought%20the%20referee%20was%20making%20unfair%20decisions%20against%20his%20players.","We%20could%20see%20Matt%20was%20getting%20hot%20under%20the%20collar%20because%20of%20what%20Ken%20was%20saying%2C%20so%20we%20changed%20the%20subject."]				clothing,h	hot under the collar
I'm good to go	["I%20am%20ready%20to%20participate."]	["Sorry%20to%20hold%20you%20up.%20Just%20let%20me%20get%20my%20car%20keys%20from%20my%20other%20coat%20and%20I%27ll%20be%20good%20to%20go."]	Britain.			travel	i'm good to go
I can't be doing with it	["I%20am%20unwilling%20to%20tolerate%20it."]	["Next%20door%20are%20having%20another%20party%20and%20the%20noise%20is%20outrageous%20-%20I%27m%20going%20round%20there%20to%20tell%20them%20I%20can%27t%20be%20doing%20with%20it."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/i-cant-be-doing-with-it.mp3	emotion	i can't be doing with it
I can't think straight	["I%27m%20overwhelmed%20and%20stressed%20and%20it%20is%20affecting%20my%20ability%20to%20think."]	["The%20kids%27%20party%20got%20a%20little%20out%20of%20hand%20and%20I%20had%20to%20go%20outside%20to%20get%20some%20work%20done.%20I%20couldn%27t%20think%20straight%20with%20all%20that%20yelling%20and%20running%20around."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/i-cant-think-straight.mp3	emotion	i can't think straight
I owe you one!	["You%20can%20say%20%22I%20owe%20you%20one%21%22%20when%20someone%20has%20done%20something%20for%20you%20and%20you%27d%20be%20happy%20to%20return%20the%20favour%20one%20day.",""]	["Thanks%20for%20helping%20me%20out%2C%20Bob.%20I%20owe%20you%20one%21","%22I%20owe%20you%20one%21%22%20said%20Malik%20after%20I%27d%20told%20him%20to%20sell%20his%20shares%20just%20before%20the%20market%20collapsed."]				i,numbers	i owe you one!
if all else fails	["You%20can%20say%20%22if%20all%20else%20fails%22%20before%20saying%20what%20you%27ll%20do%20if%20your%20plans%20don%27t%20work%20out%20as%20well%20as%20you%27d%20like.",""]	["If%20all%20else%20fails%2C%20I%20can%20get%20there%20by%20train.%20It%27s%20never%20fully%20booked.","I%27m%20not%20sure%20where%20we%27ll%20eat%2C%20but%20if%20all%20else%20fails%20we%20can%20go%20to%20McDonalds."]				i	if all else fails
if I were you	["You%20can%20say%20%22if%20I%20were%20you%22%20when%20giving%20advice%20to%20someone.",""]	["It%20looks%20like%20rain.%20I%27d%20take%20an%20umbrella%20if%20I%20were%20you.","If%20I%20were%20you%2C%20I%27d%20eat%20a%20lot%20more%20fruit%20and%20vegetables%20and%20a%20lot%20less%20meat."]				i	if i were you
If it's not one thing, it's another	["Said%20after%20more%20than%20one%20thing%20goes%20wrong."]	["The%20boiler%20broke%20and%20now%20my%20phone%20is%20out%20of%20battery%20so%20I%20can%27t%20ring%20for%20help.%20If%20it%27s%20not%20one%20thing%20it%27s%20another..."]			https://www.phrases.org.uk/idioms/audio/if-its-not-one-thing.mp3	conflict	if it's not one thing
if push comes to shove	["You%20can%20say%20%22if%20push%20comes%20to%20shove%22%20before%20saying%20what%20you%27ll%20do%20if%20things%20don%27t%20go%20as%20well%20as%20you%27d%20like%2C%20and%20you%27re%20forced%20to%20do%20something%20that%20you%27d%20rather%20not%20do.",""	["I%27ve%20made%20up%20my%20mind%20and%20I%27m%20going%20to%20have%20a%20career%20in%20music.%20I%27d%20love%20to%20be%20in%20a%20successful%20band%2C%20but%20if%20push%20comes%20to%20shove%20I%20can%20earn%20money%20by%20teaching%20guitar.","Sandy%20says%20she%20really%20wants%20to%20stay%20in%20her%20apartment%2C%20but%20if%20push%20comes%20to%20shove%20she%27ll%20just%20have%20to%20move%20out%20and%20find%20somewhere%20cheaper."]				i	if push comes to shove
if worst comes to worst	["You%20can%20say%20%22if%20worst%20comes%20to%20worst%22%20before%20saying%20what%20you%27ll%20do%20if%20your%20plans%20don%27t%20work%20out.",""]	["I%20don%27t%20worry%20too%20much%20about%20my%20business%20failing%2C%20because%20if%20worst%20comes%20to%20worst%20I%20can%20always%20go%20back%20to%20my%20old%20job.","Bob%20says%20he%27ll%20be%20lucky%20to%20find%20tickets%20for%20the%20match%20at%20this%20stage%2C%20but%20at%20least%20it%27s%20on%20TV%20so%20if%20worst%20comes%20to%20worst%20we%20can%20watch%20it%20at%20the%20pub."]				i	if worst comes to worst
ignorance is bliss	["You%20can%20say%20%22ignorance%20is%20bliss%22%20when%20you%20want%20to%20say%20that%20not%20knowing%20about%20something%20unpleasant%20can%20be%20better%20than%20knowing%20about%20it%20and%20worrying%20about%20it.",""]	["What%27s%20the%20point%20in%20knowing%20about%20all%20these%20problems%20if%20we%20can%27t%20do%20anything%20about%20them%3F%20Sometimes%20ignorance%20is%20bliss%2C%20you%20know.","I%20didn%27t%20go%20to%20the%20doctor%20at%20first%20because%20I%20was%20thinking%20ignorance%20is%20bliss.%20But%20now%20I%20wish%20I%27d%20gone%20and%20had%20some%20treatment%2C%20of%20course."]				i	ignorance is bliss
ill at ease	["If%20you%27re%20ill%20at%20ease%2C%20you%20feel%20tense%20or%20you%20can%27t%20relax%20in%20a%20situation.",""]	["Liam%20always%20looks%20ill%20at%20ease%20when%20he%27s%20being%20interviewed%20on%20T.V.","I%20don%27t%20mean%20to%20make%20people%20feel%20ill%20at%20ease%2C%20but%20I%20seem%20to%20have%20that%20effect%20on%20some%20people."]				health,i	ill at ease
in a bind | fix | jam	["If%20someone%20is%20in%20a%20bind%2C%20or%20in%20a%20jam%2C%20or%20in%20a%20fix%2C%20they%27re%20in%20a%20bad%20or%20difficult%20situation.",""]	["Jimmy%27s%20in%20a%20bind%20because%20he%20owes%20a%20lot%20of%20money%20to%20some%20mafia%20guys%2C%20and%20he%20hasn%27t%20got%20it.","If%20you%20ever%20get%20into%20a%20fix%2C%20let%20me%20know%20and%20I%27ll%20do%20what%20I%20can%20to%20help%20you%20out."]				i	in a bind,fix,jam
In a nutshell	["In%20a%20few%20words.%20Concisely%20stated.","You%20can%20say%20%22in%20a%20nutshell%22%20if%20you%27re%20about%20to%20describe%20something%20as%20briefly%20as%20possible%2C%20or%20you%27re%20going%20to%20sum%20something%20up."]	["Our%20profitability%20has%20dwindled%20to%20a%20point%20where%20we%20cannot%20continue%20to%20meet%20our%20creditors%20demands.%20In%20a%20nutshell%3B%20were%20broke.","It%27s%20a%20very%20complex%20situation%2C%20but%20the%20problem%20is%2C%20in%20a%20nutshell%2C%20a%20lack%20of%20sales.","The%20president%27s%20in%20trouble%20and%20the%20reason%2C%20in%20a%20nutshell%2C%20is%20that%20people%20no%20longer%20trust%20him."]	The UK in the 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-a-nutshell.mp3	language,food,food,i	in a nutshell
in a row	["If%20something%20happened%20several%20times%20in%20a%20row%2C%20it%20happened%20several%20times%20in%20an%20unbroken%20sequence.",""]	["Our%20team%20is%20having%20a%20great%20month.%20We%27ve%20won%20four%20games%20in%20a%20row%20and%20if%20we%20win%20tomorrow%20it%27ll%20be%20five%20in%20a%20row.","We%20got%20behind%20schedule%20because%20of%20the%20weather.%20It%27s%20rained%20for%20the%20last%20four%20days%20in%20a%20row."]				i	in a row
in any case	["You%20can%20say%20%22in%20any%20case%22%20before%20giving%20an%20additional%20reason%20for%20doing%20or%20not%20doing%20something%2C%20or%20instead%20of%20saying%20%22anyway%22.",""]	["I%20don%27t%20need%20a%20car%2C%20and%20in%20any%20case%20I%20can%27t%20afford%20one%20now.","I%20can%27t%20go%20to%20the%20dance%20club%20tonight%2C%20and%20in%20any%20case%20I%27m%20far%20too%20old%20for%20that%20sort%20of%20thing."]				i	in any case
In cahoots with	["To%20be%20in%20a%20partnership%20with%2C%20often%20for%20unscrupulous%20purposes."]	["I%20saw%20the%20pickpocket%20give%20Jack%20the%20watch%20he%27d%20stolen.%20Jack%20later%20claimed%20that%20he%20didn%27t%20know%20him%20but%20it%20seems%20obvious%20that%20they%20were%20in%20cahoots."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-cahoots-with.mp3	crime	in cahoots with
in deep water	["If%20you%27re%20in%20deep%20water%2C%20you%27re%20in%20some%20sort%20of%20trouble%20or%20in%20a%20difficult%20situation.",""]	["The%20company%27s%20in%20deep%20water%20now%20that%20the%20tax%20inspectors%20have%20decided%20to%20check%20over%20the%20accounts.","Many%20families%20are%20in%20deep%20water%20because%20of%20the%20mortgage%20crisis%2C%20and%20some%20might%20even%20lose%20their%20homes."]	Probably metaphorical, and related to the fact that deep water can be very dangerous, especially if someone can't swim.			i,nature	in deep water
In like Flynn	["To%20be%20easily%20successful%2C%20especially%20concerning%20sex%20or%20romance."]	["Since%20he%20had%20that%20lottery%20win%20and%20the%20nose%20job%2C%20he%27s%20in%20like%20Flynn%20with%20the%20girls."]	USA, 1940s.	Worldwide, but more common in the USA than elsewhere.	https://www.phrases.org.uk/idioms/audio/in-like-flynn.mp3	sex,name,slang,america	in like flynn
In limbo	["In%20an%20uncertain%20situation%2C%20over%20which%20you%20have%20no%20control%20%28a%20reference%20to%20the%20state%20of%20being%20outside%20both%20heaven%20and%20hell%29."]	["Jack%20said%20he%20would%20collect%20us%20after%20our%20camping%20trip%20on%20the%20moors%2C%20but%20until%20he%20arrives%20we%20are%20in%20limbo."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-limbo.mp3	religion	in limbo
in someone's bad books	["If%20you%27re%20in%20someone%27s%20bad%20books%2C%20they%20are%20not%20pleased%20with%20you.",""]	["I%20think%20I%27m%20in%20Jenny%27s%20bad%20books.%20I%20forgot%20her%20birthday%2C%20and%20now%20she%27s%20not%20answering%20my%20calls.","Make%20sure%20you%20don%27t%20get%20in%20the%20boss%27s%20bad%20books.%20If%20you%20do%2C%20he%27ll%20make%20life%20hell%20for%20you."]				i	in someone's bad books
in someone's good books	["If%20you%27re%20in%20someone%27s%20good%20books%2C%20they%20are%20pleased%20with%20you.",""]	["Ever%20since%20I%20helped%20her%20son%20get%20into%20university%2C%20I%27ve%20been%20in%20Jean%27s%20good%20books%20and%20she%27s%20been%20very%20nice%20to%20me.","All%20you%20have%20to%20do%20to%20get%20into%20his%20good%20books%20is%20to%20agree%20with%20everything%20he%20says."]				i	in someone's good books
In the bag	["Something%20that%20is%20secured."]	["I%20knew%20when%20they%20sent%20all%20the%20other%20interviewees%20home%20that%20my%20job%20application%20was%20in%20the%20bag."]	USA,, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-the-bag.mp3	business,cliche,america	in the bag
in the black	["If%20a%20person%20or%20a%20company%20is%20in%20the%20black%2C%20their%20assets%20are%20greater%20than%20their%20debts.",""]	["It%27s%20taken%20a%20long%20time%2C%20but%20we%27ve%20paid%20off%20our%20loans%20and%20we%27re%20in%20the%20black%20again%20at%20last.","If%20you%20rearrange%20your%20debts%20and%20save%20more%20than%20you%20spend%2C%20you%20could%20be%20in%20the%20black%20again%20within%20three%20years."]				colours,i,money	in the black
In the buff	["Naked."]	["Midnight%20swimming%20in%20the%20buff%3F%20Not%20for%20me%20-%20I%20prefer%20a%20costume."]	Britain. From Shakespeare's Comedy of Errors.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-the-buff.mp3	the_human_body	in the buff
in the dark	["If%20you%27re%20in%20the%20dark%20about%20something%2C%20you%20don%27t%20know%20about%20it.",""]	["The%20company%20is%20going%20to%20cut%20some%20jobs%2C%20but%20they%27re%20keeping%20the%20workers%20in%20the%20dark%20so%20they%20won%27t%20cause%20trouble.","We%20were%20completely%20in%20the%20dark%20about%20Mark%20and%20Jenny%20and%20we%20still%20can%27t%20believe%20they%27re%20getting%20married%20next%20month."]				colours,i	in the dark
In the heat of the moment	["In%20an%20overwhelming%20situation%2C%20causing%20you%20to%20act%20rashly."]	["When%20the%20burglars%20broke%20in%20I%20just%20lashed%20out.%20I%20didn%27t%20think%20-%20it%20was%20just%20a%20heat%20of%20the%20moment%20reaction."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/in-the-heat-of-the-moment.mp3	time	in the heat of the moment
in the long run	["If%20you%20talk%20about%20something%20%22in%20the%20long%20run%22%2C%20you%20mean%20over%20a%20long%20period%20of%20time.",""]	["We%20might%20pay%20more%20now%2C%20but%20we%27ll%20save%20money%20in%20the%20long%20run%20because%20we%20shouldn%27t%20have%20to%20pay%20so%20much%20for%20repairs%20or%20spare%20parts.","John%20says%20he%27s%20working%20so%20hard%20that%20he%20barely%20has%20time%20to%20see%20his%20family%2C%20but%20he%20says%20it%27ll%20be%20worth%20it%20in%20the%20long%20run.%20His%20wife%20isn%27t%20so%20sure."]				i,time	in the long run
in the red	["If%20a%20person%20or%20a%20company%20is%20in%20the%20red%2C%20their%20debts%20are%20greater%20than%20their%20assets.",""]	["Even%20if%20we%20make%20a%20profit%20this%20year%2C%20we%20owe%20so%20much%20money%20that%20we%27ll%20probably%20still%20be%20in%20the%20red.","I%20don%27t%20like%20being%20in%20the%20red%2C%20so%20I%20don%27t%20borrow%20money."]				colours,i,money	in the red
In the same boat	["Jointly%20facing%20the%20same%20predicament."]	["The%20fog%20has%20grounded%20all%20the%20planes%20and%20no%20one%20is%20going%20anywhere.%20it%27s%20annoying%20but%20I%20suppose%20were%20all%20in%20the%20same%20boat."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-the-same-boat.mp3	travel,vehicle	in the same boat
in two minds	["If%20you%27re%20in%20two%20minds%20about%20something%2C%20you%20can%27t%20decide%20what%20to%20do%2C%20or%20%20you%20can%27t%20decide%20which%20option%20is%20the%20best.",""]	["Kenny%20is%20in%20two%20minds%20about%20what%20to%20study%20at%20university.%20He%27s%20interested%20in%20history%2C%20but%20he%20also%20likes%20the%20idea%20of%20being%20a%20lawyer.","We%27re%20in%20two%20minds%20about%20what%20to%20do%20during%20our%20vacation.%20We%20could%20go%20travelling%20somewhere%2C%20or%20we%20could%20stay%20home%20and%20fix%20up%20the%20garden."]				i,numbers	in two minds
In your face	["Aggressive%20confrontation."]	["The%20police%20kept%20interrogating%20him.%20They%20were%20in%20his%20face%20for%20hours."]	USA, 1970s.	Worldwide.	https://www.phrases.org.uk/idioms/audio/in-your-face.mp3	conflict,the_human_body,america	in your face
Inside job	["A%20crime%20committed%20by%20or%20with%20the%20help%20of%20someone%20living%20or%20working%20in%20the%20place%20that%20it%20took%20place."]	["Only%20the%20staff%20in%20the%20security%20department%20knew%20the%20safe%27s%20combination%20and%20it%20wasn%27t%20forced%20open.%20It%20had%20to%20be%20an%20inside%20job."]	Britain, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/inside-job.mp3	crime	inside job
It's a small world	["Said%20when%20people%20meet%20unexpectedly%2C%20away%20from%20their%20usual%20haunts."]	["I%20went%20to%20New%20York%20and%20the%20first%20person%20I%20met%20was%20the%20guy%20from%20next%20door.%20it%27s%20a%20small%20world%20alright."]	Britain, in an 1873 novel by G. Chesney.	Worldwide.	https://www.phrases.org.uk/idioms/audio/its-a-small-world.mp3	luck,location	it's a small world
It's all gone Pete Tong	["Cockney%20rhyming%20slang%20for%20gone%20wrong."]	["I%20thought%20I%20could%20make%20mayonnaise%20with%20butter.%20When%20I%20tried%20it%20all%20went%20Pete%20Tong."]	Britain, alluding to the popular DJ Pete Tong.	Mainly Britain.	https://www.phrases.org.uk/idioms/audio/its-all-gone-pete-tong.mp3	cockney_rhyming_slang,name	it's all gone pete tong
it's high time	["If%20you%20say%20it%27s%20high%20time%20something%20was%20done%2C%20you%20think%20it%20should%20have%20been%20done%20already%2C%20and%20is%20overdue.",""]	["It%27s%20high%20time%20Mick%20got%20a%20real%20job.%20He%27s%20been%20wasting%20his%20time%20singing%20in%20that%20Rolling%20Stones%20band%20for%20too%20long.","It%27s%20high%20time%20you%20started%20looking%20after%20your%20body.%20You%27re%20not%20a%20teenager%20any%20more%2C%20you%20know%21"]				i,time	it's high time
